Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits),,,
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits),,,
Tax payments (number),IC.TAX.PAYM,Tax payments (number),,,
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits),,,
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Total tax rate (% of commercial profits),,,
Procedures to build a warehouse (number),IC.WRH.PROC,Procedures to build a warehouse (number),,,
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),,,
Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,Investment in telecoms with private participation (current US$),,,
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,Investment in transport with private participation (current US$),,,
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$),,,
6.14 Imports as a percentage of GDP,IMPGDP,Imports as a percentage of GDP*,Value,,
6.14 Imports as a percentage of GDP (rank),IMPGDP_R,Imports as a percentage of GDP*,Rank,,
"4.07 Infant mortality, deaths/1,000 live births",INFANTMORTPC,"Infant mortality, deaths/1,000 live births*",Value,,
"4.07 Infant mortality, deaths/1,000 live births (rank)",INFANTMORTPC_R,"Infant mortality, deaths/1,000 live births*",Rank,,
"3.03 Inflation, annual % change",INFLAYRAVG,"Inflation, annual % change*",Value,,
"3.03 Inflation, annual % change (rank)",INFLAYRAVG_R,"Inflation, annual % change*",Rank,,
"9.06 Int'l Internet bandwidth, kb/s per user",INTBDWIDUSER,"Int’l Internet bandwidth, kb/s per user*",Value,,
"9.06 Int'l Internet bandwidth, kb/s per user (rank)",INTBDWIDUSER_R,"Int’l Internet bandwidth, kb/s per user*",Rank,,
"1.21 Strength of investor protection, 0-10",INVESTPROIDX,"Strength of investor protection, 0–10 (best)*",Value,,
"1.21 Strength of investor protection, 0-10 (rank)",INVESTPROIDX_R,"Strength of investor protection, 0–10 (best)*",Rank,,
Scientific and technical journal articles,IP.JRN.ARTC.SC,Scientific and technical journal articles,,,
"Patent applications, nonresidents",IP.PAT.NRES,"Patent applications, nonresidents",,,
"Patent applications, residents",IP.PAT.RESD,"Patent applications, residents",,,
"Trademark applications, direct nonresident",IP.TMK.NRES,"Trademark applications, direct nonresident",,,
"Trademark applications, direct resident",IP.TMK.RESD,"Trademark applications, direct resident",,,
"Trademark applications, total",IP.TMK.TOTL,"Trademark applications, total",,,
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high),,,
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high),,,
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high),,,
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),,,
CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high),,,
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high),,,
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high),,,
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high),,,
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high),,,
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high),,,
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high),,,
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high),,,
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high),,,
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high),,,
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high),,,
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high),,,
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high),,,
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),,,
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high),,,
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high),,,
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",,,
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",,,
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Air transport, registered carrier departures worldwide",,,
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)",,,
"Air transport, passengers carried",IS.AIR.PSGR,"Air transport, passengers carried",,,
Road sector diesel fuel consumption (kt of oil equivalent),IS.ROD.DESL.KT,Road sector diesel fuel consumption (kt of oil equivalent),,,
Road sector diesel fuel consumption per capita (kg of oil equivalent),IS.ROD.DESL.PC,Road sector diesel fuel consumption per capita (kg of oil equivalent),,,
Road density (km of road per 100 sq. km of land area),IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),,,
Road sector energy consumption (kt of oil equivalent),IS.ROD.ENGY.KT,Road sector energy consumption (kt of oil equivalent),,,
Road sector energy consumption per capita (kg of oil equivalent),IS.ROD.ENGY.PC,Road sector energy consumption per capita (kg of oil equivalent),,,
Road sector energy consumption (% of total energy consumption),IS.ROD.ENGY.ZS,Road sector energy consumption (% of total energy consumption),,,
"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6,"Roads, goods transported (million ton-km)",,,
"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,"Roads, paved (% of total roads)",,,
"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6,"Roads, passengers carried (million passenger-km)",,,
Road sector gasoline fuel consumption (kt of oil equivalent),IS.ROD.SGAS.KT,Road sector gasoline fuel consumption (kt of oil equivalent),,,
Road sector gasoline fuel consumption per capita (kg of oil equivalent),IS.ROD.SGAS.PC,Road sector gasoline fuel consumption per capita (kg of oil equivalent),,,
"Roads, total network (km)",IS.ROD.TOTL.KM,"Roads, total network (km)",,,
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)",,,
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)",,,
Rail lines (total route-km),IS.RRS.TOTL.KM,Rail lines (total route-km),,,
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100),,,
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),,,
"Motor vehicles (per 1,000 people)",IS.VEH.NVEH.P3,"Motor vehicles (per 1,000 people)",,,
"Passenger cars (per 1,000 people)",IS.VEH.PCAR.P3,"Passenger cars (per 1,000 people)",,,
Vehicles (per km of road),IS.VEH.ROAD.K1,Vehicles (per km of road),,,
Mobile cellular subscriptions,IT.CEL.SETS,Mobile cellular subscriptions,,,
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),,,
Secure Internet servers,IT.NET.SECR,Secure Internet servers,,,
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,Secure Internet servers (per 1 million people),,,
Internet users (per 100 people),IT.NET.USER.P2,Internet users (per 100 people),,,
"8.08 Legal rights index, 0-10",LEGRGHTIDX,"Legal rights index, 0–10 (best)*",Value,,
"8.08 Legal rights index, 0-10 (rank)",LEGRGHTIDX_R,"Legal rights index, 0–10 (best)*",Rank,,
"4.08 Life expectancy, years",LIFEEXPECT,"Life expectancy, years*",Value,,
"4.08 Life expectancy, years (rank)",LIFEEXPECT_R,"Life expectancy, years*",Rank,,
"Lead time to export, median case (days)",LP.EXP.DURS.MD,"Lead time to export, median case (days)",,,
"Lead time to import, median case (days)",LP.IMP.DURS.MD,"Lead time to import, median case (days)",,,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),,WDI,LPI
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),,WDI,LPI
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),,WDI,LPI
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),,WDI,LPI
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),,,
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),,WDI,LPI
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),,WDI,LPI
"4.01 Malaria cases/100,000 pop.",MALARIAPC,"Malaria cases/100,000 pop.*",Value,,
"4.01 Malaria cases/100,000 pop. (rank)",MALARIAPC_R,"Malaria cases/100,000 pop.*",Rank,,
9.07 Mobile broadband subscriptions/100 pop.,MOBBBSUBPC,Mobile broadband subscriptions/100 pop.*,Value,,
9.07 Mobile broadband subscriptions/100 pop. (rank),MOBBBSUBPC_R,Mobile broadband subscriptions/100 pop.*,Rank,,
2.08 Mobile telephone subscriptions/100 pop.,MOBSUBPC,Mobile telephone subscriptions/100 pop.*,Value,,
2.08 Mobile telephone subscriptions/100 pop. (rank),MOBSUBPC_R,Mobile telephone subscriptions/100 pop.*,Rank,,
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),,,
"Armed forces personnel, total",MS.MIL.TOTL.P1,"Armed forces personnel, total",,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force),,,
Military expenditure (current LCU),MS.MIL.XPND.CN,Military expenditure (current LCU),,,
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,,
Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS,Military expenditure (% of central government expenditure),,,
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values),,,
General government final consumption expenditure (current US$),NE.CON.GOVT.CD,General government final consumption expenditure (current US$),,,
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,General government final consumption expenditure (current LCU),,,
General government final consumption expenditure (constant 2005 US$),NE.CON.GOVT.KD,General government final consumption expenditure (constant 2005 US$),,,
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth),,,
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU),,,
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),,,
"Household final consumption expenditure, etc. (current US$)",NE.CON.PETC.CD,"Household final consumption expenditure, etc. (current US$)",,,
"Household final consumption expenditure, etc. (current LCU)",NE.CON.PETC.CN,"Household final consumption expenditure, etc. (current LCU)",,,
"Household final consumption expenditure, etc. (constant 2005 US$)",NE.CON.PETC.KD,"Household final consumption expenditure, etc. (constant 2005 US$)",,,
"Household final consumption expenditure, etc. (annual % growth)",NE.CON.PETC.KD.ZG,"Household final consumption expenditure, etc. (annual % growth)",,,
"Household final consumption expenditure, etc. (constant LCU)",NE.CON.PETC.KN,"Household final consumption expenditure, etc. (constant LCU)",,,
"Household final consumption expenditure, etc. (% of GDP)",NE.CON.PETC.ZS,"Household final consumption expenditure, etc. (% of GDP)",,,
Household final consumption expenditure (current US$),NE.CON.PRVT.CD,Household final consumption expenditure (current US$),,,
Household final consumption expenditure (current LCU),NE.CON.PRVT.CN,Household final consumption expenditure (current LCU),,,
Household final consumption expenditure (constant 2005 US$),NE.CON.PRVT.KD,Household final consumption expenditure (constant 2005 US$),,,
Household final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,Household final consumption expenditure (annual % growth),,,
Household final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Household final consumption expenditure (constant LCU),,,
Household final consumption expenditure per capita (constant 2005 US$),NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2005 US$),,,
Household final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Household final consumption expenditure per capita growth (annual %),,,
"Household final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,"Household final consumption expenditure, PPP (current international $)",,,
"Household final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,"Household final consumption expenditure, PPP (constant 2011 international $)",,,
"Final consumption expenditure, etc. (current US$)",NE.CON.TETC.CD,"Final consumption expenditure, etc. (current US$)",,,
"Final consumption expenditure, etc. (current LCU)",NE.CON.TETC.CN,"Final consumption expenditure, etc. (current LCU)",,,
"Final consumption expenditure, etc. (constant 2005 US$)",NE.CON.TETC.KD,"Final consumption expenditure, etc. (constant 2005 US$)",,,
"Final consumption expenditure, etc. (annual % growth)",NE.CON.TETC.KD.ZG,"Final consumption expenditure, etc. (annual % growth)",,,
"Final consumption expenditure, etc. (constant LCU)",NE.CON.TETC.KN,"Final consumption expenditure, etc. (constant LCU)",,,
"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,"Final consumption expenditure, etc. (% of GDP)",,,
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Final consumption expenditure (current US$),,,
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,Final consumption expenditure (current LCU),,,
Final consumption expenditure (constant 2005 US$),NE.CON.TOTL.KD,Final consumption expenditure (constant 2005 US$),,,
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,Final consumption expenditure (constant LCU),,,
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country),,,
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Gross national expenditure (current US$),,,
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Gross national expenditure (current LCU),,,
Gross national expenditure (constant 2005 US$),NE.DAB.TOTL.KD,Gross national expenditure (constant 2005 US$),,,
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Gross national expenditure (constant LCU),,,
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP),,,
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Exports of goods and services (current US$),,,
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Exports of goods and services (current LCU),,,
Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,Exports of goods and services (constant 2005 US$),,,
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth),,,
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Exports of goods and services (constant LCU),,,
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),,,
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)",,,
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)",,,
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Gross fixed capital formation (current US$),,,
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU),,,
Gross fixed capital formation (constant 2005 US$),NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2005 US$),,,
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth),,,
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU),,,
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP),,,
Changes in inventories (current US$),NE.GDI.STKB.CD,Changes in inventories (current US$),,,
Changes in inventories (current LCU),NE.GDI.STKB.CN,Changes in inventories (current LCU),,,
Changes in inventories (constant LCU),NE.GDI.STKB.KN,Changes in inventories (constant LCU),,,
Gross capital formation (current US$),NE.GDI.TOTL.CD,Gross capital formation (current US$),,,
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Gross capital formation (current LCU),,,
Gross capital formation (constant 2005 US$),NE.GDI.TOTL.KD,Gross capital formation (constant 2005 US$),,,
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth),,,
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Gross capital formation (constant LCU),,,
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Imports of goods and services (current US$),,,
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Imports of goods and services (current LCU),,,
Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,Imports of goods and services (constant 2005 US$),,,
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth),,,
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Imports of goods and services (constant LCU),,,
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),,,
External balance on goods and services (current US$),NE.RSB.GNFS.CD,External balance on goods and services (current US$),,,
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,External balance on goods and services (current LCU),,,
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,External balance on goods and services (constant LCU),,,
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),,,
Trade (% of GDP),NE.TRD.GNFS.ZS,Trade (% of GDP),,,
"9.04 Individuals using Internet, %",NETUSERPCT,"Individuals using Internet, %*",Value,,
"9.04 Individuals using Internet, % (rank)",NETUSERPCT_R,"Individuals using Internet, %*",Rank,,
"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,"Agriculture, value added (current US$)",,,
"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,"Agriculture, value added (current LCU)",,,
"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,"Agriculture, value added (constant 2005 US$)",,,
"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,"Agriculture, value added (annual % growth)",,,
"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,"Agriculture, value added (constant LCU)",,,
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)",,,
"Manufacturing, value added (current US$)",NV.IND.MANF.CD,"Manufacturing, value added (current US$)",,,
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,"Manufacturing, value added (current LCU)",,,
"Manufacturing, value added (constant 2005 US$)",NV.IND.MANF.KD,"Manufacturing, value added (constant 2005 US$)",,,
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)",,,
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",,,
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",,,
"Industry, value added (current US$)",NV.IND.TOTL.CD,"Industry, value added (current US$)",,,
"Industry, value added (current LCU)",NV.IND.TOTL.CN,"Industry, value added (current LCU)",,,
"Industry, value added (constant 2005 US$)",NV.IND.TOTL.KD,"Industry, value added (constant 2005 US$)",,,
"Industry, value added (annual % growth)",NV.IND.TOTL.KD.ZG,"Industry, value added (annual % growth)",,,
"Industry, value added (constant LCU)",NV.IND.TOTL.KN,"Industry, value added (constant LCU)",,,
"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,"Industry, value added (% of GDP)",,,
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,Chemicals (% of value added in manufacturing),,,
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)",,,
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Machinery and transport equipment (% of value added in manufacturing),,,
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Other manufacturing (% of value added in manufacturing),,,
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Textiles and clothing (% of value added in manufacturing),,,
"Services, etc., value added (current US$)",NV.SRV.TETC.CD,"Services, etc., value added (current US$)",,,
"Services, etc., value added (current LCU)",NV.SRV.TETC.CN,"Services, etc., value added (current LCU)",,,
"Services, etc., value added (constant 2005 US$)",NV.SRV.TETC.KD,"Services, etc., value added (constant 2005 US$)",,,
"Services, etc., value added (annual % growth)",NV.SRV.TETC.KD.ZG,"Services, etc., value added (annual % growth)",,,
"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,"Services, etc., value added (constant LCU)",,,
"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"Services, etc., value added (% of GDP)",,,
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),,,
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI),,,
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$),,,
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI),,,
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),,,
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),,,
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$),,,
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI),,,
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),,,
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),,,
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),,,
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),,,
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$),,,
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI),,,
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI),,,
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI),,,
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),,,
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI),,,
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Adjusted net national income (current US$),,,
Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,Adjusted net national income (constant 2005 US$),,,
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth),,,
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$),,,
Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2005 US$),,,
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth),,,
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)",,,
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)",,,
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",,,
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",,,
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU),,,
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Coal rents (% of GDP),,,
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",,,
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,GDP deflator (base year varies by country),,,
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU),,,
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU),,,
Gross value added at factor cost (current US$),NY.GDP.FCST.CD,Gross value added at factor cost (current US$),,,
Gross value added at factor cost (current LCU),NY.GDP.FCST.CN,Gross value added at factor cost (current LCU),,,
Gross value added at factor cost (constant 2005 US$),NY.GDP.FCST.KD,Gross value added at factor cost (constant 2005 US$),,,
Gross value added at factor cost (constant LCU),NY.GDP.FCST.KN,Gross value added at factor cost (constant LCU),,,
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,Forest rents (% of GDP),,,
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP),,,
GDP (current US$),NY.GDP.MKTP.CD,GDP (current US$),,,
GDP (current LCU),NY.GDP.MKTP.CN,GDP (current LCU),,,
GDP (constant 2005 US$),NY.GDP.MKTP.KD,GDP (constant 2005 US$),,,
GDP (constant LCU),NY.GDP.MKTP.KN,GDP (constant LCU),,,
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)",,,
"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2011 international $)",,,
